Title,Artist,Creation_Date,estimate_year,url,img_URL,Medium,height_cm,width_cm,Accession_number
Étaples,Samuel John Peploe,c.1906,1906,https://artuk.org/discover/artworks/taples-211590/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_1937-001.jpg,oil on wood,19.0,24.2,GMA 1937
"Landscape, South of France",Samuel John Peploe,c.1928,1928,https://artuk.org/discover/artworks/landscape-south-of-france-211603/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_1103-001.jpg,oil on canvas,50.5,55.9,GMA 1103
Still Life with Melon,Samuel John Peploe,c.1920,1920,https://artuk.org/discover/artworks/still-life-with-melon-211598/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_1951-001.jpg,oil on canvas,45.8,40.5,GMA 1951
"A Rocky Shore, Iona",Samuel John Peploe,,,https://artuk.org/discover/artworks/a-rocky-shore-iona-93690/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/EDI/CITY/EDI_CITY_CAC_198_1964-001.jpg,oil on canvas,40.7,50.5,CAC198_1964
Roses,Samuel John Peploe,,,https://artuk.org/discover/artworks/roses-122663/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NI/NMNI/NI_NMNI_BELUM_U483-001.jpg,oil on canvas,50.9,40.5,BELUM.U483
Cyclamen,Samuel John Peploe,,,https://artuk.org/discover/artworks/cyclamen-94308/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/EDI/UNI/EDI_UNI_EU_0181-001.jpg,oil on canvas,44.0,39.0,EU0181
Interior,Samuel John Peploe,,,https://artuk.org/discover/artworks/interior-107554/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/AAG/ABD_AAG_ag010709-001.jpg,oil on canvas,38.0,30.5,ABDAG010709
"Landscape, Cassis, France",Samuel John Peploe,c.1924,1924,https://artuk.org/discover/artworks/landscape-cassis-france-107569/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/AAG/ABD_AAG_ag003850-001.jpg,oil on canvas,63.5,53.5,ABDAG003850
Martagon Lilies,Samuel John Peploe,late 1920s,1920,https://artuk.org/discover/artworks/martagon-lilies-78817/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ERY/FG/ERY_FG_2005_5261-001.jpg,oil on canvas,44.5,39.5,KINCM_2005.5261
Still Life with a Brown Crock,Samuel John Peploe,1917–1918,1918,https://artuk.org/discover/artworks/still-life-with-a-brown-crock-138824/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/GLA/HAG/GLA_HAG_44002-001.jpg,oil on canvas,50.7,31.0,GLAHA_44002
"Iona (recto), Still Life with Flowers (verso)",Samuel John Peploe,,,https://artuk.org/discover/artworks/iona-recto-still-life-with-flowers-verso-138825/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/GLA/HAG/GLA_HAG_44000-001.jpg,oil on panel,37.6,45.3,GLAHA_44000_R
Still Life,Samuel John Peploe,1917–1918,1918,https://artuk.org/discover/artworks/still-life-183431/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/STC/INV/STC_INV_1977_1087-001.jpg,oil on canvas,64.0,76.5,1977.1087
Ben More from Iona,Samuel John Peploe,c.1924,1924,https://artuk.org/discover/artworks/ben-more-from-iona-124879/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_299-001.jpg,oil on canvas,64.0,76.0,KIRMG_299
Sweetheart Abbey,Samuel John Peploe,1928,1928,https://artuk.org/discover/artworks/sweetheart-abbey-124875/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_324-001.jpg,oil on canvas,51.0,61.0,KIRMG_324
