R,G,B,freqency,id
88,-107,124,0.03799462159047253,6
33,46,52,0.031012293507491358,6
23,58,51,0.026723972339608146,6
-125,-111,-81,0.02385468689973108,6
-39,-75,-71,0.018843641951594315,6
93,-101,121,0.014377641183250096,6
-77,-64,-38,0.01357087975412985,6
46,123,84,0.009695543603534383,6
-40,-59,-82,0.007092777564348828,6
75,-107,118,0.0062283903188628505,6
58,116,85,0.00607952362658471,6
-95,-63,-25,0.11385493372606775,7
-82,-51,-93,0.1115960972017673,7
-45,-60,-85,0.09677098674521355,7
-22,-73,-94,0.08313144329896907,7
35,49,78,0.060714285714285714,7
81,92,122,0.05888438880706922,7
-106,-111,-110,0.05855301914580265,7
-128,-99,-59,0.056875920471281295,7
-48,-59,-67,0.055813696612665685,7
117,-94,-38,0.041706553755522825,7
-83,-122,-113,0.035110456553755526,7
124,89,102,0.03470360824742268,7
-55,-115,126,0.03376104565537555,7
-128,-95,120,0.029815905743740795,7
6,13,39,0.0282639911634757,7
-81,-52,-73,0.019213917525773196,7
-34,-74,-72,0.0161340206185567,7
102,85,120,0.015905743740795286,7
53,44,81,0.013823637702503682,7
-4,-29,-52,0.010001840942562592,7
-112,-53,-116,0.00932621502209131,7
25,40,93,0.008113033873343152,7
10,14,52,0.007925257731958762,7
-51,-56,-51,0.2875966277910954,8
-127,-109,-74,0.1033452743286557,8
50,47,53,0.08149594634632477,8
87,98,-128,0.07310313249117893,8
94,91,95,0.07110728041586985,8
-107,-110,-106,0.04995555794974008,8
-16,-19,-21,0.04346432515420045,8
-84,-72,-44,0.04004902092816549,8
42,51,74,0.037888867939774286,8
125,76,66,0.03469173377865165,8
86,45,38,0.02952029520295203,8
107,-111,-120,0.02317450911735395,8
-35,-54,-86,0.021078999111158996,8
74,43,43,0.018520214399224286,8
-71,-124,112,0.01593180165378296,8
-75,-114,-115,0.012670024510464083,8
15,22,42,0.011514531203706197,8
66,96,-103,0.011035095752417378,8
120,85,85,0.011029708837234357,8
-45,-82,-82,0.009572548280227328,8
-27,-52,-125,0.0071241953295445365,8
78,112,107,0.006130309478277265,8
-45,-53,-51,0.1900749199007492,9
62,38,49,0.1548505215485052,9
50,40,48,0.11306159813061598,9
106,78,90,0.09230083592300836,9
-104,-111,-101,0.0675025896750259,9
89,91,118,0.05844234058442341,9
99,91,101,0.047862012478620125,9
-19,-26,-30,0.0464696104646961,9
51,51,74,0.03804774638047746,9
28,19,27,0.032136060321360606,9
-35,-73,-63,0.02085471320854713,9
-118,-116,-92,0.020666811206668113,9
38,18,28,0.019553853195538533,9
-85,-122,-112,0.015593457155934572,9
-96,71,95,0.013569897135698972,9
-35,-63,-89,0.013543398135433982,9
-71,-123,114,0.011845053118450532,9
