Title,Artist,Creation_Date,estimate_year,url,img_URL,Medium,height_cm,width_cm,Accession_number,recoloured_image,colour_palette,relative_frequencies
Ruins in the Fort of Ayr,George Frederick Buchanan,1843 (?),1843,https://artuk.org/discover/artworks/ruins-in-the-fort-of-ayr-214581/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/SS/SAYC/SS_SAYC_AYRRH_2012_0007-001.jpg,oil on canvas,24.5,34.5,AYRRH_2012.0007,"[[[175 178 167]
  [175 178 167]
  [175 178 167]
  ...
  [175 178 167]
  [175 178 167]
  [175 178 167]]

 [[175 178 167]
  [175 178 167]
  [175 178 167]
  ...
  [175 178 167]
  [175 178 167]
  [175 178 167]]

 [[175 178 167]
  [175 178 167]
  [175 178 167]
  ...
  [175 178 167]
  [175 178 167]
  [175 178 167]]

 ...

 [[ 80  57  37]
  [ 55  35  20]
  [ 55  35  20]
  ...
  [ 80  57  37]
  [ 80  57  37]
  [ 80  57  37]]

 [[ 55  35  20]
  [ 55  35  20]
  [ 55  35  20]
  ...
  [ 80  57  37]
  [ 80  57  37]
  [ 80  57  37]]

 [[ 55  35  20]
  [ 55  35  20]
  [ 55  35  20]
  ...
  [ 80  57  37]
  [ 80  57  37]
  [ 80  57  37]]]","[array([175, 178, 167], dtype=uint8), array([80, 57, 37], dtype=uint8), array([55, 35, 20], dtype=uint8), array([91, 65, 33], dtype=uint8), array([187, 179, 169], dtype=uint8), array([130, 134, 123], dtype=uint8), array([136, 105,  67], dtype=uint8), array([207, 204, 189], dtype=uint8), array([132, 113,  93], dtype=uint8), array([84, 79, 54], dtype=uint8), array([65, 39, 12], dtype=uint8), array([215, 205, 193], dtype=uint8)]","[0.5640972222222222, 0.08611208920187793, 0.07811815336463224, 0.07369131455399061, 0.05768388106416275, 0.05714006259780908, 0.026437793427230048, 0.023621870109546167, 0.012331768388106417, 0.008441901408450704, 0.006562989045383411, 0.00576095461658842]"
"The 'Neptune' of the Aberdeen White Star Line, off Aberdeen",William John Huggins,1844,1844,https://artuk.org/discover/artworks/the-neptune-of-the-aberdeen-white-star-line-off-aberdeen-106115/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/MMU/ABD_MMU_AG010205-001.jpg,oil on canvas,60.3,116.0,ABDAG010205,"[[[117 131 135]
  [117 131 135]
  [117 131 135]
  ...
  [120 120 104]
  [120 120 104]
  [120 120 104]]

 [[117 131 135]
  [117 131 135]
  [117 131 135]
  ...
  [120 120 104]
  [120 120 104]
  [120 120 104]]

 [[117 131 135]
  [117 131 135]
  [117 131 135]
  ...
  [120 120 104]
  [120 120 104]
  [120 120 104]]

 ...

 [[ 13  38  26]
  [ 13  38  26]
  [ 13  38  26]
  ...
  [ 58  70  52]
  [ 58  70  52]
  [ 58  70  52]]

 [[ 58  70  52]
  [ 13  38  26]
  [ 13  38  26]
  ...
  [ 58  70  52]
  [ 58  70  52]
  [ 58  70  52]]

 [[ 58  70  52]
  [ 58  70  52]
  [ 13  38  26]
  ...
  [ 58  70  52]
  [ 58  70  52]
  [ 58  70  52]]]","[array([234, 214, 196], dtype=uint8), array([192, 172, 157], dtype=uint8), array([13, 38, 26], dtype=uint8), array([171, 173, 165], dtype=uint8), array([144, 118,  98], dtype=uint8), array([58, 70, 52], dtype=uint8), array([226, 224, 207], dtype=uint8), array([117, 131, 135], dtype=uint8), array([202, 159, 123], dtype=uint8), array([150, 159, 161], dtype=uint8), array([160, 121,  89], dtype=uint8), array([120, 120, 104], dtype=uint8), array([249, 206, 161], dtype=uint8), array([210, 207, 211], dtype=uint8)]","[0.16212876427829698, 0.14472222222222222, 0.12022066458982347, 0.11142263759086189, 0.10630581516095534, 0.07749480789200415, 0.05923416407061267, 0.04620067497403946, 0.045208982346832814, 0.039872793354101765, 0.036383696780893045, 0.028943406022845276, 0.0132736240913811, 0.008587746625129802]"
Ship 'The Queen',Arthur Smith,1844,1844,https://artuk.org/discover/artworks/ship-the-queen-106148/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/MMU/ABD_MMU_8010-001.jpg,oil on canvas,52.0,89.3,ABDAG008010,"[[[123 126 109]
  [123 126 109]
  [174 171 157]
  ...
  [174 171 157]
  [174 171 157]
  [174 171 157]]

 [[123 126 109]
  [174 171 157]
  [174 171 157]
  ...
  [174 171 157]
  [174 171 157]
  [174 171 157]]

 [[123 126 109]
  [174 171 157]
  [174 171 157]
  ...
  [174 171 157]
  [174 171 157]
  [174 171 157]]

 ...

 [[ 29  32  25]
  [ 29  32  25]
  [ 29  32  25]
  ...
  [ 29  32  25]
  [ 29  32  25]
  [ 29  32  25]]

 [[ 29  32  25]
  [ 29  32  25]
  [ 29  32  25]
  ...
  [ 29  32  25]
  [ 29  32  25]
  [ 29  32  25]]

 [[ 29  32  25]
  [ 29  32  25]
  [ 29  32  25]
  ...
  [ 29  32  25]
  [ 29  32  25]
  [ 29  32  25]]]","[array([174, 171, 157], dtype=uint8), array([178, 169, 157], dtype=uint8), array([123, 126, 109], dtype=uint8), array([29, 32, 25], dtype=uint8), array([66, 72, 58], dtype=uint8), array([214, 212, 195], dtype=uint8), array([145, 137, 126], dtype=uint8), array([226, 212, 168], dtype=uint8), array([219, 207, 185], dtype=uint8), array([193, 180, 136], dtype=uint8), array([146, 117,  74], dtype=uint8), array([196, 168, 125], dtype=uint8), array([122, 118,  78], dtype=uint8)]","[0.40443932955618506, 0.1458864494806421, 0.1217079792256846, 0.1213692162417375, 0.061833097261567514, 0.056627714825306895, 0.02438975448536355, 0.018840887629839473, 0.013623701605288007, 0.010642115203021718, 0.00807247403210576, 0.007705382436260623, 0.0048618980169971675]"
Ships at Sea,,c.1850,1850,https://artuk.org/discover/artworks/ships-at-sea-86582/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/GL/GM/GL_GM_TEMP_14950-001.jpg,oil on canvas,64.8,89.9,TEMP.14950,"[[[193 175 153]
  [193 175 153]
  [193 175 153]
  ...
  [193 175 153]
  [193 175 153]
  [193 175 153]]

 [[193 175 153]
  [193 175 153]
  [193 175 153]
  ...
  [193 175 153]
  [193 175 153]
  [193 175 153]]

 [[193 175 153]
  [193 175 153]
  [193 175 153]
  ...
  [193 175 153]
  [193 175 153]
  [193 175 153]]

 ...

 [[ 36  34  22]
  [ 36  34  22]
  [ 36  34  22]
  ...
  [ 36  34  22]
  [ 36  34  22]
  [ 36  34  22]]

 [[ 36  34  22]
  [ 36  34  22]
  [ 36  34  22]
  ...
  [ 36  34  22]
  [ 36  34  22]
  [ 36  34  22]]

 [[ 36  34  22]
  [ 36  34  22]
  [ 36  34  22]
  ...
  [ 36  34  22]
  [ 36  34  22]
  [ 36  34  22]]]","[array([128, 109,  85], dtype=uint8), array([193, 175, 153], dtype=uint8), array([199, 163, 122], dtype=uint8), array([36, 34, 22], dtype=uint8), array([80, 66, 47], dtype=uint8), array([147, 118,  84], dtype=uint8), array([43, 35, 24], dtype=uint8), array([72, 67, 45], dtype=uint8), array([197, 189, 166], dtype=uint8), array([115, 107,  81], dtype=uint8), array([215, 201, 182], dtype=uint8), array([209, 203, 180], dtype=uint8), array([94, 75, 42], dtype=uint8)]","[0.2584188596491228, 0.19971929824561405, 0.10218859649122806, 0.09034868421052632, 0.06710526315789474, 0.06707675438596492, 0.05654605263157895, 0.04662938596491228, 0.04014035087719298, 0.02555263157894737, 0.021074561403508774, 0.014467105263157894, 0.010732456140350876]"
Rural Landscape,Horatio McCulloch,1845,1845,https://artuk.org/discover/artworks/rural-landscape-127243/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/STG/CSF_STG_6087_000-001.jpg,oil on board,38.7,50.5,6087.000,"[[[122 130 113]
  [122 130 113]
  [122 130 113]
  ...
  [190 182 134]
  [125 116  69]
  [190 182 134]]

 [[122 130 113]
  [122 130 113]
  [122 130 113]
  ...
  [190 182 134]
  [190 182 134]
  [190 182 134]]

 [[122 130 113]
  [122 130 113]
  [122 130 113]
  ...
  [190 182 134]
  [190 182 134]
  [190 182 134]]

 ...

 [[ 77  62  46]
  [ 77  62  46]
  [ 77  62  46]
  ...
  [ 77  62  46]
  [ 77  62  46]
  [ 77  62  46]]

 [[ 77  62  46]
  [ 77  62  46]
  [ 77  62  46]
  ...
  [ 77  62  46]
  [ 77  62  46]
  [ 77  62  46]]

 [[ 77  62  46]
  [ 77  62  46]
  [ 77  62  46]
  ...
  [ 77  62  46]
  [ 77  62  46]
  [ 77  62  46]]]","[array([178, 180, 152], dtype=uint8), array([190, 182, 134], dtype=uint8), array([69, 68, 51], dtype=uint8), array([77, 62, 46], dtype=uint8), array([218, 209, 161], dtype=uint8), array([135, 108,  60], dtype=uint8), array([210, 207, 174], dtype=uint8), array([122, 130, 113], dtype=uint8), array([103,  79,  43], dtype=uint8), array([125, 116,  69], dtype=uint8), array([90, 83, 44], dtype=uint8), array([191, 166, 116], dtype=uint8)]","[0.1838132733408324, 0.1686304836895388, 0.14943569553805774, 0.10361736032995876, 0.09037026621672291, 0.07783558305211849, 0.07122328458942633, 0.05886482939632546, 0.05284026996625422, 0.022548743907011625, 0.01583614548181477, 0.004984064491938508]"
Frigate 'Hannah and Mary',W. Webb,c.1850,1850,https://artuk.org/discover/artworks/frigate-hannah-and-mary-106185/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/MMU/ABD_MMU_ag008009-001.jpg,oil on canvas,46.0,76.0,ABDAG008009,"[[[157 174 181]
  [157 174 181]
  [157 174 181]
  ...
  [231 214 191]
  [213 213 194]
  [213 213 194]]

 [[157 174 181]
  [157 174 181]
  [157 174 181]
  ...
  [231 214 191]
  [213 213 194]
  [213 213 194]]

 [[157 174 181]
  [157 174 181]
  [157 174 181]
  ...
  [231 214 191]
  [231 214 191]
  [231 214 191]]

 ...

 [[ 62  73  59]
  [ 62  73  59]
  [ 23  34  27]
  ...
  [ 19  27  30]
  [ 19  27  30]
  [ 19  27  30]]

 [[ 62  73  59]
  [ 62  73  59]
  [ 19  27  30]
  ...
  [ 19  27  30]
  [ 19  27  30]
  [ 19  27  30]]

 [[ 62  73  59]
  [ 62  73  59]
  [ 19  27  30]
  ...
  [ 19  27  30]
  [ 19  27  30]
  [ 19  27  30]]]","[array([175, 177, 159], dtype=uint8), array([19, 27, 30], dtype=uint8), array([213, 213, 194], dtype=uint8), array([157, 174, 181], dtype=uint8), array([62, 73, 59], dtype=uint8), array([125, 127, 110], dtype=uint8), array([23, 34, 27], dtype=uint8), array([231, 214, 191], dtype=uint8), array([196, 173, 131], dtype=uint8), array([187, 171, 147], dtype=uint8), array([90, 75, 55], dtype=uint8), array([139, 116,  79], dtype=uint8), array([131, 115,  92], dtype=uint8), array([116, 133, 140], dtype=uint8), array([232, 209, 166], dtype=uint8), array([199, 214, 219], dtype=uint8), array([192, 177, 134], dtype=uint8), array([100,  80,  47], dtype=uint8), array([226, 210, 165], dtype=uint8), array([135, 124,  85], dtype=uint8)]","[0.1672738751147842, 0.11443411386593205, 0.09059458218549128, 0.07755739210284665, 0.06575987144168963, 0.06507346189164372, 0.05646464646464647, 0.04964990817263545, 0.04432966023875115, 0.04241505968778696, 0.0399058769513315, 0.03225206611570248, 0.03214072543617998, 0.029665977961432506, 0.02834366391184573, 0.02061868686868687, 0.017289944903581267, 0.011682736455463728, 0.010749540863177226, 0.0037982093663911846]"
The British and North American Royal Mail Steam Ships 'Europa' and 'Niagara' off the Tail of the Bank,William Clark,1848,1848,https://artuk.org/discover/artworks/the-british-and-north-american-royal-mail-steam-ships-europa-and-niagara-off-the-tail-of-the-bank-83536/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/GL/GM/GL_GM_1877_137_b-001.jpg,oil on canvas,92.0,128.5,1877.137.b,"[[[143 121  97]
  [143 121  97]
  [143 121  97]
  ...
  [146 112  72]
  [146 112  72]
  [146 112  72]]

 [[143 121  97]
  [143 121  97]
  [143 121  97]
  ...
  [146 112  72]
  [146 112  72]
  [146 112  72]]

 [[143 121  97]
  [143 121  97]
  [143 121  97]
  ...
  [146 112  72]
  [146 112  72]
  [146 112  72]]

 ...

 [[ 98  69  34]
  [ 88  66  46]
  [ 88  66  46]
  ...
  [143 121  97]
  [143 121  97]
  [143 121  97]]

 [[ 98  69  34]
  [ 88  66  46]
  [ 88  66  46]
  ...
  [ 88  66  46]
  [ 88  66  46]
  [ 88  66  46]]

 [[ 98  69  34]
  [ 88  66  46]
  [ 88  66  46]
  ...
  [ 88  66  46]
  [ 88  66  46]
  [ 88  66  46]]]","[array([199, 168, 123], dtype=uint8), array([146, 112,  72], dtype=uint8), array([185, 181, 150], dtype=uint8), array([98, 69, 34], dtype=uint8), array([88, 66, 46], dtype=uint8), array([143, 121,  97], dtype=uint8), array([186, 165, 137], dtype=uint8), array([234, 199, 149], dtype=uint8), array([190, 180, 138], dtype=uint8)]","[0.3190812969924812, 0.1954981203007519, 0.16211466165413535, 0.09585761278195488, 0.06177161654135338, 0.05420817669172932, 0.04619595864661654, 0.03332001879699248, 0.03195253759398496]"
The Brig 'Isabella Leith' of Aberdeen,,1850,1850,https://artuk.org/discover/artworks/the-brig-isabella-leith-of-aberdeen-106180/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/MMU/ABD_MMU_8039-001.jpg,oil on canvas,50.0,75.5,ABDAG008039,"[[[ 74  82  85]
  [ 74  82  85]
  [ 74  82  85]
  ...
  [156 171 180]
  [156 171 180]
  [156 171 180]]

 [[ 74  82  85]
  [ 74  82  85]
  [ 74  82  85]
  ...
  [156 171 180]
  [156 171 180]
  [156 171 180]]

 [[ 74  82  85]
  [ 74  82  85]
  [ 74  82  85]
  ...
  [156 171 180]
  [156 171 180]
  [156 171 180]]

 ...

 [[ 26  36  25]
  [ 26  36  25]
  [ 26  36  25]
  ...
  [ 26  36  25]
  [ 26  36  25]
  [ 26  36  25]]

 [[ 26  36  25]
  [ 26  36  25]
  [ 26  36  25]
  ...
  [ 26  36  25]
  [ 26  36  25]
  [ 26  36  25]]

 [[ 26  36  25]
  [ 26  36  25]
  [ 26  36  25]
  ...
  [ 26  36  25]
  [ 26  36  25]
  [ 26  36  25]]]","[array([171, 171, 162], dtype=uint8), array([156, 171, 180], dtype=uint8), array([111, 121, 107], dtype=uint8), array([61, 75, 62], dtype=uint8), array([166, 166, 171], dtype=uint8), array([26, 36, 25], dtype=uint8), array([118, 125, 129], dtype=uint8), array([208, 207, 196], dtype=uint8), array([74, 82, 85], dtype=uint8), array([176, 166, 152], dtype=uint8), array([123, 124, 130], dtype=uint8), array([147, 119,  80], dtype=uint8), array([141, 126, 109], dtype=uint8), array([205, 204, 207], dtype=uint8), array([195, 204, 207], dtype=uint8), array([214, 207, 199], dtype=uint8)]","[0.22410348583877995, 0.14150871459694989, 0.12010566448801743, 0.1084161220043573, 0.0935359477124183, 0.08413507625272332, 0.07671568627450981, 0.052320261437908494, 0.03142592592592593, 0.018869281045751633, 0.018260348583877997, 0.009318082788671024, 0.006769063180827887, 0.0054564270152505446, 0.004877995642701525, 0.004181917211328976]"
Ship 'Woolloomooloo',Richard Ball Spencer,1850,1850,https://artuk.org/discover/artworks/ship-woolloomooloo-106157/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/MMU/ABD_MMU_1246-001.jpg,oil on canvas,50.0,70.0,ABDAG001246,"[[[181 165 145]
  [181 165 145]
  [181 165 145]
  ...
  [171 168 151]
  [171 168 151]
  [121 113  75]]

 [[181 165 145]
  [181 165 145]
  [181 165 145]
  ...
  [171 168 151]
  [118 114  91]
  [121 113  75]]

 [[181 165 145]
  [181 165 145]
  [181 165 145]
  ...
  [171 168 151]
  [118 114  91]
  [121 113  75]]

 ...

 [[ 31  29  17]
  [ 31  29  17]
  [ 31  29  17]
  ...
  [ 77  65  48]
  [ 77  65  48]
  [ 77  65  48]]

 [[ 31  29  17]
  [ 31  29  17]
  [ 39  30  20]
  ...
  [181 165 145]
  [181 165 145]
  [181 165 145]]

 [[ 31  29  17]
  [ 31  29  17]
  [ 39  30  20]
  ...
  [194 171 129]
  [197 181 136]
  [197 181 136]]]","[array([181, 165, 145], dtype=uint8), array([151, 131, 110], dtype=uint8), array([171, 168, 151], dtype=uint8), array([75, 71, 48], dtype=uint8), array([194, 171, 129], dtype=uint8), array([31, 29, 17], dtype=uint8), array([146, 117,  79], dtype=uint8), array([118, 114,  91], dtype=uint8), array([197, 181, 136], dtype=uint8), array([39, 30, 20], dtype=uint8), array([77, 65, 48], dtype=uint8), array([80, 74, 38], dtype=uint8), array([101,  72,  35], dtype=uint8), array([121, 113,  75], dtype=uint8)]","[0.38854774535809017, 0.09012267904509284, 0.08824160035366932, 0.07910145888594164, 0.07126215738284704, 0.06239168877099911, 0.05108863837312113, 0.03948054818744474, 0.03514367816091954, 0.034948054818744474, 0.020450928381962864, 0.017374005305039786, 0.015690760389036253, 0.00615605658709107]"
View near Bournemouth,Henry Lewis,1850,1850,https://artuk.org/discover/artworks/view-near-bournemouth-190267/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w800h800/collection/STC/REN/STC_REN_A0049-001.jpg,oil on canvas,61.0,91.0,A0049,"[[[203 165 119]
  [203 165 119]
  [203 165 119]
  ...
  [139 118  92]
  [139 118  92]
  [139 118  92]]

 [[203 165 119]
  [203 165 119]
  [203 165 119]
  ...
  [202 182 155]
  [202 182 155]
  [202 182 155]]

 [[203 165 119]
  [203 165 119]
  [203 165 119]
  ...
  [202 182 155]
  [202 182 155]
  [202 182 155]]

 ...

 [[203 165 119]
  [203 165 119]
  [203 165 119]
  ...
  [139 118  92]
  [139 118  92]
  [139 118  92]]

 [[154 121  81]
  [154 121  81]
  [154 121  81]
  ...
  [139 118  92]
  [139 118  92]
  [139 118  92]]

 [[154 121  81]
  [154 121  81]
  [154 121  81]
  ...
  [139 118  92]
  [139 118  92]
  [139 118  92]]]","[array([203, 165, 119], dtype=uint8), array([154, 121,  81], dtype=uint8), array([231, 200, 151], dtype=uint8), array([202, 182, 155], dtype=uint8), array([97, 71, 37], dtype=uint8), array([41, 29, 14], dtype=uint8), array([219, 200, 172], dtype=uint8), array([139, 118,  92], dtype=uint8), array([85, 67, 44], dtype=uint8), array([221, 162,  95], dtype=uint8), array([218, 202, 160], dtype=uint8), array([215, 207, 184], dtype=uint8), array([244, 201, 130], dtype=uint8)]","[0.23961812144212524, 0.19880455407969638, 0.16152039848197344, 0.08513519924098671, 0.05963235294117647, 0.057414611005692597, 0.05355787476280835, 0.045092504743833015, 0.044781783681214424, 0.031427893738140415, 0.014494781783681214, 0.0045303605313092975, 0.0039895635673624285]"
"Clipper 'Phoenician', Aberdeen White Star Line",W. Webb,1850,1850,https://artuk.org/discover/artworks/clipper-phoenician-aberdeen-white-star-line-106186/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/MMU/ABD_MMU_AG008017-001.jpg,oil on canvas,50.0,79.0,ABDAG008017,"[[[155 167 173]
  [155 167 173]
  [155 167 173]
  ...
  [ 64  71  54]
  [ 64  71  54]
  [ 64  71  54]]

 [[155 167 173]
  [155 167 173]
  [155 167 173]
  ...
  [ 64  71  54]
  [ 64  71  54]
  [ 64  71  54]]

 [[155 167 173]
  [155 167 173]
  [155 167 173]
  ...
  [ 64  71  54]
  [ 64  71  54]
  [ 64  71  54]]

 ...

 [[  6  22  22]
  [  6  22  22]
  [  6  22  22]
  ...
  [ 13  29  19]
  [ 13  29  19]
  [ 13  29  19]]

 [[  6  22  22]
  [  6  22  22]
  [  6  22  22]
  ...
  [ 13  29  19]
  [ 13  29  19]
  [ 13  29  19]]

 [[ 64  71  54]
  [  6  22  22]
  [  6  22  22]
  ...
  [ 13  29  19]
  [ 13  29  19]
  [ 13  29  19]]]","[array([188, 171, 159], dtype=uint8), array([155, 167, 173], dtype=uint8), array([64, 71, 54], dtype=uint8), array([228, 210, 191], dtype=uint8), array([13, 29, 19], dtype=uint8), array([171, 173, 164], dtype=uint8), array([ 6, 22, 22], dtype=uint8), array([236, 231, 208], dtype=uint8), array([113, 117, 101], dtype=uint8), array([116, 134, 143], dtype=uint8), array([145, 123, 111], dtype=uint8), array([167, 164, 171], dtype=uint8), array([198, 168, 133], dtype=uint8), array([152, 120,  88], dtype=uint8), array([226, 204, 166], dtype=uint8)]","[0.16975594493116394, 0.11953483521068002, 0.10306841885690446, 0.08946182728410514, 0.08190237797246558, 0.0732081768877764, 0.0554453483521068, 0.053271798080934504, 0.05230496453900709, 0.05183771380892783, 0.04808823529411765, 0.04166770963704631, 0.03750834376303713, 0.016502920317062995, 0.006441385064664164]"
View of Gatehouse of Fleet,Robert George Kelly,1852,1852,https://artuk.org/discover/artworks/view-of-gatehouse-of-fleet-211436/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/SS/DGK/SS_DGK_SM_1997_28_01-001.jpg,oil on canvas,46.0,69.8,STEWM_1997.28.01,"[[[189 193 183]
  [189 193 183]
  [189 193 183]
  ...
  [214 213 198]
  [214 213 198]
  [214 213 198]]

 [[189 193 183]
  [189 193 183]
  [189 193 183]
  ...
  [214 213 198]
  [214 213 198]
  [214 213 198]]

 [[189 193 183]
  [189 193 183]
  [189 193 183]
  ...
  [214 213 198]
  [214 213 198]
  [214 213 198]]

 ...

 [[ 42  28   6]
  [ 42  28   6]
  [ 42  28   6]
  ...
  [ 50  43   4]
  [ 73  65  15]
  [ 73  65  15]]

 [[ 42  28   6]
  [ 42  28   6]
  [ 42  28   6]
  ...
  [ 50  43   4]
  [ 50  43   4]
  [ 73  65  15]]

 [[ 42  28   6]
  [ 42  28   6]
  [ 42  28   6]
  ...
  [ 50  43   4]
  [ 50  43   4]
  [ 73  65  15]]]","[array([214, 213, 198], dtype=uint8), array([229, 214, 198], dtype=uint8), array([87, 64, 18], dtype=uint8), array([42, 28,  6], dtype=uint8), array([73, 65, 15], dtype=uint8), array([189, 193, 183], dtype=uint8), array([144, 114,  68], dtype=uint8), array([193, 173, 150], dtype=uint8), array([194, 164, 118], dtype=uint8), array([57, 39,  4], dtype=uint8), array([146, 109,  34], dtype=uint8), array([129, 116,  63], dtype=uint8), array([135, 120,  31], dtype=uint8), array([177, 157,  64], dtype=uint8), array([50, 43,  4], dtype=uint8), array([185, 170, 119], dtype=uint8), array([112,  79,   7], dtype=uint8), array([144, 121,  97], dtype=uint8), array([40, 34,  7], dtype=uint8), array([82, 65, 42], dtype=uint8)]","[0.3454729406130268, 0.19742097701149425, 0.07107159961685824, 0.058832614942528734, 0.04897150383141762, 0.04334770114942529, 0.03508022030651341, 0.03477729885057471, 0.03190253831417625, 0.02670617816091954, 0.014913793103448276, 0.013443486590038314, 0.01262212643678161, 0.011623563218390805, 0.011170977011494252, 0.010996168582375478, 0.009980842911877395, 0.008522509578544061, 0.007189894636015326, 0.005953065134099617]"
The Smugglers' Cave,Henry Perlee Parker,1852,1852,https://artuk.org/discover/artworks/the-smugglers-cave-85579/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/GL/GM/GL_GM_807-001.jpg,oil on canvas,106.7,139.7,807,"[[[175 158 129]
  [132 115  88]
  [132 115  88]
  ...
  [132 115  88]
  [132 115  88]
  [132 115  88]]

 [[132 115  88]
  [132 115  88]
  [132 115  88]
  ...
  [132 115  88]
  [132 115  88]
  [132 115  88]]

 [[129 122  95]
  [129 122  95]
  [175 158 129]
  ...
  [132 115  88]
  [132 115  88]
  [132 115  88]]

 ...

 [[139 116  77]
  [139 116  77]
  [139 116  77]
  ...
  [ 83  65  43]
  [ 83  65  43]
  [ 83  65  43]]

 [[139 116  77]
  [139 116  77]
  [139 116  77]
  ...
  [ 83  65  43]
  [ 83  65  43]
  [ 83  65  43]]

 [[139 116  77]
  [139 116  77]
  [139 116  77]
  ...
  [ 83  65  43]
  [ 83  65  43]
  [ 83  65  43]]]","[array([139, 116,  77], dtype=uint8), array([97, 73, 38], dtype=uint8), array([45, 29, 16], dtype=uint8), array([83, 65, 43], dtype=uint8), array([176, 155, 115], dtype=uint8), array([132, 115,  88], dtype=uint8), array([175, 158, 129], dtype=uint8), array([177, 163, 120], dtype=uint8), array([129, 122,  95], dtype=uint8), array([136, 123,  84], dtype=uint8), array([85, 76, 39], dtype=uint8), array([118,  56,  37], dtype=uint8), array([62, 39, 10], dtype=uint8)]","[0.25685922712933756, 0.13345623028391168, 0.11486593059936909, 0.11085567823343849, 0.09322555205047318, 0.07588722397476341, 0.056084384858044165, 0.04783320189274448, 0.0351044952681388, 0.03405165615141956, 0.017083990536277602, 0.016021293375394322, 0.008671135646687696]"
